tip	country	date	distance	residual
hDenV1_Togo_PG-049-2025-C066986_2024-07-23	Togo	2024.5573770491803	0.010081638271707435	-9.13219005037217E-4
hDenV1_Togo_PG-054-2025-C066988_2024-07-23	Togo	2024.5573770491803	0.009861400071707434	-0.0011334572050372173
hDenV1_Togo_KAR-50K-CERI-K063724_2024_EPI_ISL_19745033_2024-07-31	Togo	2024.5792349726776	0.010320177871707433	-6.959801444297673E-4
hDenV1_Togo_KAR-67K-CERI-K063728_2024_EPI_ISL_19745037_2024-08-05	Togo	2024.5928961748634	0.010676860171707435	-3.526108065502482E-4
hDenV1_Togo_KAR-58K-CERI-K063726_2024_EPI_ISL_19745035_2024-08-01	Togo	2024.5819672131147	0.010478270171707434	-5.405504368538629E-4
hDenV1_Togo_KAR-109K-CERI-K063733_2024_EPI_ISL_19745041_2024-08-28	Togo	2024.655737704918	0.009575149071707435	-0.0015155615323037986
hDenV1_Togo_KAR-BMFA-370-CERI-K063681_2024_EPI_ISL_19745007_2024-07-22	Togo	2024.5546448087432	0.009902527671707434	-0.0010896670126131214
hDenV1_Togo_KAR-24K-CERI-K063714_2024_EPI_ISL_19745026_2024-07-26	Togo	2024.5655737704917	0.009780264471707434	-0.001222580582309285
hDenV1_Togo_PG-057-2025-C066989_2024-07-23	Togo	2024.5573770491803	0.008967270071707433	-0.002027587205037219
hDenV1_Togo_PG-118-2025-C066999_2024-07-29	Togo	2024.5737704918033	0.009562089671707434	-0.0014487431595815742
hDenV1_Togo_KAR-45K-CERI-K063720_2024_EPI_ISL_19745030_2024-07-29	Togo	2024.5737704918033	0.010275040671707435	-7.357921595815727E-4
hDenV1_Togo_GL-BMFA-282-CERI-K063650_2024_EPI_ISL_19745002_2024-06-27	Togo	2024.4863387978141	0.012975987971707436	0.0020503580979888466
hDenV1_Togo_PG-176-2025-C067005_2024-07-26	Togo	2024.5655737704917	0.009172881671707434	-0.0018299633823092853
hDenV1_Togo_GL-BMFA-139-CERI-K063764_2024_EPI_ISL_19745051_2024-06-17	Togo	2024.4590163934427	0.009277185471707434	-0.0016218184777706361
hDenV1_Togo_PG-104-2025-C066996_2024-07-31	Togo	2024.5792349726776	0.009069206971707433	-0.0019469510444297677
hDenV1_Togo_PG-102-2025-C066995_2024-07-30	Togo	2024.5765027322404	0.012040457371707433	0.0010269619479943287
hDenV1_Togo_KAR-95K-CERI-K063731_2024_EPI_ISL_19745039_2024-08-20	Togo	2024.6338797814208	0.009689149771707435	-0.0013802600929112493
hDenV1_Togo_PG-172-2025-C067003_2024-07-25	Togo	2024.5628415300546	0.009274736571707434	-0.001725445889885189
hDenV1_Togo_PG-127-2025-C067000_2024-08-07	Togo	2024.5983606557377	0.010066539871707435	-9.682562913982187E-4
hDenV1_Togo_GL-BMFA-379-CERI-K063683_2024_EPI_ISL_19745008_2024-07-17	Togo	2024.5409836065573	0.011245234171707435	2.663524495073611E-4
hDenV1_Togo_KAR-119K-CERI-K063735_2024_EPI_ISL_19745043_2024-09-06	Togo	2024.6803278688524	0.009386086371707434	-0.001728587564120445
hDenV1_Togo_KAR-BMFA-390-CERI-K063686_2024_EPI_ISL_19745010_2024-07-26	Togo	2024.5655737704917	0.009617738471707434	-0.0013851065823092847
hDenV1_Togo_PG-105-2025-C066997_2024-08-05	Togo	2024.5928961748634	0.010374804471707435	-6.546665065502479E-4
hDenV1_Togo_PG-115-2025-C066998_2024-07-29	Togo	2024.5737704918033	0.009776817671707435	-0.0012340151595815734
hDenV1_Togo_KAR-154K-CERI-K063740_2024_EPI_ISL_19745045_2024-09-27	Togo	2024.7377049180327	0.010492683871707435	-6.779045050258024E-4
hDenV1_Togo_GL-BMFA-246-CERI-K063639_2024_EPI_ISL_19744996_2024-06-19	Togo	2024.464480874317	0.011007514971707434	1.0318583738117178E-4
hDenV1_Togo_KAR-91K-CERI-K063730_2024_EPI_ISL_19744620_2024-08-14	Togo	2024.6174863387978	0.010082179971707435	-9.71254338366671E-4
hDenV1_Togo_KAR-91K-CERI-K063730_2024_EPI_ISL_19744991_2024-08-14	Togo	2024.6174863387978	0.010082193571707435	-9.712407383666716E-4
